,location,time,gdp,change
707,LUX,1982-01-01,15433.985848,0.07346465388470924
708,LUX,1983-01-01,16518.406611,0.07026187361319391
709,LUX,1984-01-01,18147.878069,0.09864580140041457
710,LUX,1985-01-01,19219.878836,0.059070309097523754
711,LUX,1986-01-01,21465.742267,0.11685107123533811
712,LUX,1987-01-01,22734.995724,0.059129260065293066
713,LUX,1988-01-01,25303.989452,0.11299732620086078
714,LUX,1989-01-01,28580.690181,0.12949344352263847
715,LUX,1990-01-01,30863.203731,0.07986208644875137
716,LUX,1991-01-01,34181.754071,0.10752449320958668
717,LUX,1992-01-01,35116.327014,0.027341280996252326
718,LUX,1993-01-01,36934.866285,0.051786146947401024
719,LUX,1994-01-01,38599.682526,0.04507438115935769
720,LUX,1995-01-01,39412.771787,0.021064661877784108
721,LUX,1996-01-01,41254.510667,0.046729493930378396
722,LUX,1997-01-01,42694.519471,0.0349054874416892
723,LUX,1998-01-01,44311.779301,0.037879799328776054
724,LUX,1999-01-01,50448.32127,0.13848556897965758
725,LUX,2000-01-01,55511.271812,0.10035914802601709
726,LUX,2001-01-01,55395.78864,-0.002080355362620856
727,LUX,2002-01-01,57950.568742,0.04611867011412585
728,LUX,2003-01-01,59236.084457,0.02218296977762546
729,LUX,2004-01-01,63409.836423,0.07045961940698109
730,LUX,2005-01-01,67465.509985,0.06395969128425194
731,LUX,2006-01-01,77032.5904,0.14180698281428694
732,LUX,2007-01-01,82894.614104,0.07609796936025126
733,LUX,2008-01-01,85503.677433,0.03147446136520604
734,LUX,2009-01-01,80716.932959,-0.05598290760945179
735,LUX,2010-01-01,85193.464039,0.05545962805937932
736,LUX,2011-01-01,91162.77243,0.07006768017165443
737,LUX,2012-01-01,91096.923801,-0.0007223192893849317
738,LUX,2013-01-01,95035.338346,0.04323323313972072
739,LUX,2014-01-01,100141.26993,0.05372666286945349
740,LUX,2015-01-01,102213.93353,0.02069739680202587
741,MEX,1970-01-01,1676.378542,-0.9835993148477357
742,MEX,1971-01-01,1774.182598,0.05834246475340543
743,MEX,1972-01-01,1942.951989,0.09512515295226653
744,MEX,1973-01-01,2149.187669,0.10614553584833852
745,MEX,1974-01-01,2407.142468,0.12002432487434866
746,MEX,1975-01-01,2692.884232,0.11870579651956015
747,MEX,1976-01-01,2873.897027,0.06721892937282425
748,MEX,1977-01-01,3066.416566,0.06698901776622357
749,MEX,1978-01-01,3453.115842,0.12610787467288964
750,MEX,1979-01-01,3967.587908,0.14898778075803687
751,MEX,1980-01-01,4541.624755,0.1446815698380739
752,MEX,1981-01-01,5277.458243,0.16201987783995153
753,MEX,1982-01-01,5438.727411,0.030558113503580397
754,MEX,1983-01-01,5289.611583,-0.027417411598604557
755,MEX,1984-01-01,5551.101169,0.04943455334988811
756,MEX,1985-01-01,5763.034834,0.038178670960554495
757,MEX,1986-01-01,5542.882573,-0.03820075139944923
758,MEX,1987-01-01,5673.750363,0.023610059978082854
759,MEX,1988-01-01,5827.23822,0.02705227533465937
760,MEX,1989-01-01,6184.914684,0.06138009988546522
761,MEX,1990-01-01,6609.11759,0.06858670291724267
762,MEX,1991-01-01,6991.688337,0.05788529887542815
763,MEX,1992-01-01,7287.063806,0.042246658426817296
764,MEX,1993-01-01,7484.06656,0.027034586116535975
765,MEX,1994-01-01,7856.114105,0.049711950317021136
766,MEX,1995-01-01,7411.089999,-0.05664684856305302
767,MEX,1996-01-01,7820.47709,0.05523979482845842
768,MEX,1997-01-01,8376.959663,0.07115711312696904
769,MEX,1998-01-01,8778.244362,0.04790338203160083
770,MEX,1999-01-01,9134.167944,0.040546100942547625
771,MEX,2000-01-01,9974.277325,0.09197437425615163
772,MEX,2001-01-01,10075.799886,0.010178437764662984
773,MEX,2002-01-01,10318.858023,0.024122961923620734
774,MEX,2003-01-01,10808.173081,0.04741949709060367
775,MEX,2004-01-01,11438.330772,0.05830381196501855
776,MEX,2005-01-01,12341.514536,0.07896115106331014
777,MEX,2006-01-01,13504.752696,0.0942540849915019
778,MEX,2007-01-01,14131.626377,0.0464187456898546
779,MEX,2008-01-01,14743.300551,0.043284060707657446
780,MEX,2009-01-01,14397.968251,-0.02342299804615844
781,MEX,2010-01-01,15143.26712,0.051764169499973534
782,MEX,2011-01-01,16366.300796,0.08076418822360432
783,MEX,2012-01-01,16957.697456,0.0361350232634452
784,MEX,2013-01-01,17229.897183,0.016051691434304294
785,MEX,2014-01-01,17972.521046,0.043100887667090415
786,MEX,2015-01-01,17784.578051,-0.010457241614516333
787,NLD,1970-01-01,4365.437109,-0.754538055584932
788,NLD,1971-01-01,4726.996892,0.08282327152407953
789,NLD,1972-01-01,5003.67554,0.05853159084327997
790,NLD,1973-01-01,5536.299083,0.10644645895644933
791,NLD,1974-01-01,6241.644921,0.12740385362594764
