,facility_number,facility_address,facility_city,facility_state,facility_zip
7978,370804298,5907 BATAAN CIRCLE,SAN DIEGO,CA,92139.0
8093,374602023,1268 STAMEN ST,SAN DIEGO,CA,92114.0
8096,374601933,13597 PASEO CARDIEL,SAN DIEGO,CA,92129.0
8176,374602620,4603 RAINIER AVENUE,SAN DIEGO,CA,92120.0
8233,374603366,356 BRAUN AVE,SAN DIEGO,CA,92114.0
8240,374603576,3941 LIGGETT DRIVE,SAN DIEGO,CA,92106.0
8428,372004836,10255 THANKSGIVING LANE,SAN DIEGO,CA,92126.0
8429,374600658,9121 MESA WOODS AVENUE,SAN DIEGO,CA,92126.0
8467,374603125,8292 RUN OF THE KNOLLS,SAN DIEGO,CA,92127.0
8487,374602950,15260 AMALIA,SAN DIEGO,CA,92129.0
8558,374602971,16922 HIERBA DRIVE,SAN DIEGO,CA,92128.0
8578,374601104,8702 TOMMY DRIVE,SAN DIEGO,CA,92119.0
8579,374602757,7010 JACKSON DRIVE,SAN DIEGO,CA,92119.0
8580,374603194,6684 DANVILLE AVE,SAN DIEGO,CA,92120.0
8581,374603465,8702 TOMMY DR.,SAN DIEGO,CA,92119.0
8643,374602704,6354 CASCADE ST,SAN DIEGO,CA,92122.0
8644,374603297,4949 MOUNT LONGS,SAN DIEGO,CA,92117.0
8645,374603884,4929 MOUNT LONGS,SAN DIEGO,CA,92117.0
8669,370804725,1611 PARKLAND WAY,SAN DIEGO,CA,92114.0
8670,370804842,6897 FREED MANOR LANE,SAN DIEGO,CA,92114.0
8731,374602542,6364 GALLEGOS TERRACE,SAN DIEGO,CA,92114.0
8760,372004864,6881 MEWALL DRIVE,SAN DIEGO,CA,92119.0
8846,374602915,7192 TERRA COTTA,SAN DIEGO,CA,92114.0
8847,374603610,659 SUNNYSIDE AVE,SAN DIEGO,CA,92114.0
8938,374602480,12295 FRONTERA RD,SAN DIEGO,CA,92128.0
8939,374603727,12285 FRONTERA ROAD,SAN DIEGO,CA,92128.0
8976,374601985,6915 GLENFLORA AVE,SAN DIEGO,CA,92119.0
8980,374603271,8904 REVELSTOKE WAY,SAN DIEGO,CA,92126.0
8995,374603079,14638 OLD CREEK ROAD,SAN DIEGO,CA,92131.0
9026,374602504,4615 SAUK AVE,SAN DIEGO,CA,92117.0
9027,374601435,3739 MILLIKIN AVE,SAN DIEGO,CA,92122.0
9028,374601472,6325 DENNISON STREET,SAN DIEGO,CA,92122.0
9029,374602164,5706 TULANE ST,SAN DIEGO,CA,92122.0
9030,374602337,6893 RADCLIFFE DR,SAN DIEGO,CA,92122.0
9031,374602460,7108 WERNER STREET,SAN DIEGO,CA,92122.0
9032,374602963,3664 GOVERNOR,SAN DIEGO,CA,92122.0
9033,374603493,3664 GOVERNOR DRIVE,SAN DIEGO,CA,92122.0
9045,374601384,10935 JEFFREY COURT,SAN DIEGO,CA,92126.0
9081,374602184,10666 FALCON RIM PT,SAN DIEGO,CA,92131.0
9146,374602254,8231 CASA BLANCA PLACE,SAN DIEGO,CA,92126.0
9224,374602527,3141 DRISCOLL DRIVE,SAN DIEGO,CA,92117.0
9225,374602278,4750 LEATHERS ST,SAN DIEGO,CA,92117.0
9238,374602940,566 PARKWOOD DRIVE,SAN DIEGO,CA,92139.0
9239,374601334,3008 MELBOURNE DR,SAN DIEGO,CA,92123.0
9240,374601185,8693 CELESTINE AVENUE,SAN DIEGO,CA,92123.0
