"facility_id","address","matched","quality","matched address","lat-lon","tiger_line_id","side_of_street"
"374603337","3532 GOVERNOR DRIVE, SAN DIEGO, CA, 92122","Match","Exact","3532 GOVERNOR DR, SAN DIEGO, CA, 92122","-117.21103,32.851337","195302197","L"
"374603338","10136 ZAPATA AVENUE, SAN DIEGO, CA, 92126","Match","Exact","10136 ZAPATA AVE, SAN DIEGO, CA, 92126","-117.15082,32.923805","195300689","L"
"374600675","8515 COSTA VERDE BLVD, SAN DIEGO, CA, 92122","Match","Exact","8515 COSTA VERDE BLVD, SAN DIEGO, CA, 92122","-117.21662,32.867664","611462160","R"
"374602184","10666 FALCON RIM PT, SAN DIEGO, CA, 92131","Match","Exact","10666 FALCON RIM PT, SAN DIEGO, CA, 92131","-117.08552,32.915146","195320169","L"
"374601097","4290 LAYLA WAY, SAN DIEGO, CA, 92154","Match","Exact","4290 LAYLA WAY, SAN DIEGO, CA, 92154","-117.04224,32.57139","195364575","L"
"374602181","11171 BATAVIA CIR, SAN DIEGO, CA, 92126","Match","Exact","11171 BATAVIA CIR, SAN DIEGO, CA, 92126","-117.154755,32.924732","195300657","R"
"374602996","15206 FALCON CREST COURT, SAN DIEGO, CA, 92127","Match","Exact","15206 FALCON CREST CT, SAN DIEGO, CA, 92127","-117.10179,33.00305","612872761","L"
"374600926","303 DALEGROVE LANE, SAN DIEGO, CA, 92114","Match","Non_Exact","303 DALE GROVE LN, SAN DIEGO, CA, 92114","-117.042404,32.694847","195361004","L"
"374602335","7057 BROOKHAVEN RD, SAN DIEGO, CA, 92114","Match","Exact","7057 BROOKHAVEN RD, SAN DIEGO, CA, 92114","-117.042625,32.692554","195361009","R"
"374602337","6893 RADCLIFFE DR, SAN DIEGO, CA, 92122","Match","Exact","6893 RADCLIFFE DR, SAN DIEGO, CA, 92122","-117.209206,32.85781","195302152","R"
"374600403","11423 WESTONHILL DRIVE, SAN DIEGO, CA, 92126","Match","Exact","11423 WESTONHILL DR, SAN DIEGO, CA, 92126","-117.13561,32.93193","195318234","R"
"374600305","6452 PLAZA RIDGE ROAD, SAN DIEGO, CA, 92114","Match","Exact","6452 PLAZA RIDGE RD, SAN DIEGO, CA, 92114","-117.056526,32.68962","195353574","L"
"374600927","6281 JACKSON DRIVE, SAN DIEGO, CA, 92119","Match","Exact","6281 JACKSON DR, SAN DIEGO, CA, 92119","-117.018394,32.792835","195325735","R"
"374603043","2849 MELBOURNE DRIVE, SAN DIEGO, CA, 92123","Match","Exact","2849 MELBOURNE DR, SAN DIEGO, CA, 92123","-117.1262,32.796467","195321403","R"
"374600103","2204 GROVEVIEW ROAD, SAN DIEGO, CA, 92139","Match","Non_Exact","2204 GROVE VIEW RD, SAN DIEGO, CA, 92139","-117.035034,32.687706","195361439","R"
"374603465","8702 TOMMY DR., SAN DIEGO, CA, 92119","Match","Exact","8702 TOMMY DR, SAN DIEGO, CA, 92119","-117.00954,32.804718","195326071","L"
"374601375","5615 ASHLAND AVENUE, SAN DIEGO, CA, 92120","Match","Exact","5615 ASHLAND AVE, SAN DIEGO, CA, 92120","-117.05732,32.779354","195323610","R"
"374602485","310 35TH STREET, SAN DIEGO, CA, 92102","Match","Exact","310 35TH ST, SAN DIEGO, CA, 92102","-117.11872,32.708588","612871590","L"
"374601180","7241 CANYON HILL COURT, SAN DIEGO, CA, 92126","Match","Exact","7241 CANYON HILL CT, SAN DIEGO, CA, 92126","-117.16544,32.917294","195300793","R"
"374603463","9312 TWIN MOUNTAIN CIRCLE, SAN DIEGO, CA, 92126","Match","Exact","9312 TWIN MOUNTAIN CIR, SAN DIEGO, CA, 92126","-117.12445,32.919674","195660934","L"
"374601185","8693 CELESTINE AVENUE, SAN DIEGO, CA, 92123","Match","Exact","8693 CELESTINE AVE, SAN DIEGO, CA, 92123","-117.14494,32.790764","637328806","L"
"374602488","6860 CONDON DRIVE, SAN DIEGO, CA, 92122","Match","Exact","6860 CONDON DR, SAN DIEGO, CA, 92122","-117.21026,32.85761","195302150","L"
"370804484","1576 CASTEEL COURT, SAN DIEGO, CA, 92114","Match","Exact","1576 CASTEEL CT, SAN DIEGO, CA, 92114","-117.062965,32.69276","195353185","R"
"374603322","6396 LAKE DECATUR AVENUE, SAN DIEGO, CA, 92119","Match","Exact","6396 LAKE DECATUR AVE, SAN DIEGO, CA, 92119","-117.02607,32.79756","195325402","L"
"374600431","2558 MOBLEY STREET, SAN DIEGO, CA, 92123","Match","Exact","2558 MOBLEY ST, SAN DIEGO, CA, 92123","-117.1349,32.790104","195321604","L"
"374603323","6860 CONDON DRIVE, SAN DIEGO, CA, 92122","Match","Exact","6860 CONDON DR, SAN DIEGO, CA, 92122","-117.21026,32.85761","195302150","L"
"374602480","12295 FRONTERA RD, SAN DIEGO, CA, 92128","Match","Exact","12295 FRONTERA RD, SAN DIEGO, CA, 92128","-117.064835,33.02068","195316277","R"
"374603056","11249 ANTILLA PLACE, SAN DIEGO, CA, 92126","Match","Exact","11249 ANTILLA PL, SAN DIEGO, CA, 92126","-117.132614,32.92674","195318353","R"
"374602201","6173 ADELAIDE AVE, SAN DIEGO, CA, 92115","Match","Exact","6173 ADELAIDE AVE, SAN DIEGO, CA, 92115","-117.065834,32.75772","195351036","R"
"374603194","6684 DANVILLE AVE, SAN DIEGO, CA, 92120","Match","Exact","6684 DANVILLE AVE, SAN DIEGO, CA, 92120","-117.05226,32.79322","195323190","L"
"372004561","3636 CHRISTINE STREET, SAN DIEGO, CA, 92117","Match","Exact","3636 CHRISTINE ST, SAN DIEGO, CA, 92117","-117.20916,32.834057","195302576","L"
"374601384","10935 JEFFREY COURT, SAN DIEGO, CA, 92126","Match","Non_Exact","10935 JEFFERY CT, SAN DIEGO, CA, 92126","-117.125694,32.919586","195319014","R"
"370804298","5907 BATAAN CIRCLE, SAN DIEGO, CA, 92139","Match","Exact","5907 BATAAN CIR, SAN DIEGO, CA, 92139","-117.0666,32.683212","195704869","R"
"374603457","6281 JACKSON DRIVE, SAN DIEGO, CA, 92119","Match","Exact","6281 JACKSON DR, SAN DIEGO, CA, 92119","-117.018394,32.792835","195325735","R"
"374602831","15237 CALLE JUANITO, SAN DIEGO, CA, 92129","Match","Non_Exact","15237 CLL JUANITO, SAN DIEGO, CA, 92129","-117.09421,32.989777","195314961","R"
"374600658","9121 MESA WOODS AVENUE, SAN DIEGO, CA, 92126","Match","Exact","9121 MESA WOODS AVE, SAN DIEGO, CA, 92126","-117.127525,32.914566","195380329","R"
"372004240","8904 REVELSTOKE WAY, SAN DIEGO, CA, 92126","Match","Exact","8904 REVELSTOKE WAY, SAN DIEGO, CA, 92126","-117.130936,32.932777","195318323","L"
"374602732","5327 QUINCE STREET, SAN DIEGO, CA, 92105","Match","Exact","5327 QUINCE ST, SAN DIEGO, CA, 92105","-117.080956,32.736496","195655131","R"
"374602598","7029 HILLSBORO STREET, SAN DIEGO, CA, 92120","Match","Exact","7029 HILLSBORO ST, SAN DIEGO, CA, 92120","-117.075554,32.800095","195322621","R"
"372004242","2073 HANFORD DRIVE, SAN DIEGO, CA, 92111","Match","Exact","2073 HANFORD DR, SAN DIEGO, CA, 92111","-117.16431,32.782528","195306613","R"
"374602492","8825 STANWELL STREET, SAN DIEGO, CA, 92126","Match","Exact","8825 STANWELL ST, SAN DIEGO, CA, 92126","-117.1338,32.912243","195318806","R"
"374602316","11075 POLARIS DRIVE, SAN DIEGO, CA, 92126","Match","Exact","11075 POLARIS DR, SAN DIEGO, CA, 92126","-117.131134,32.92178","195689589","R"
"374601811","10264 AMBASSADOR AVE, SAN DIEGO, CA, 92126","Match","Exact","10264 AMBASSADOR AVE, SAN DIEGO, CA, 92126","-117.14726,32.90489","195301149","L"
"374602597","6045 REO PLACE, SAN DIEGO, CA, 92139","Match","Exact","6045 REO PL, SAN DIEGO, CA, 92139","-117.060196,32.669918","195353754","R"
"370804866","1924 REO DRIVE, SAN DIEGO, CA, 92139","Match","Exact","1924 REO DR, SAN DIEGO, CA, 92139","-117.0703,32.680885","195352788","R"
"374603318","11423 WESTONHILL DRIVE, SAN DIEGO, CA, 92126","Match","Exact","11423 WESTONHILL DR, SAN DIEGO, CA, 92126","-117.13561,32.93193","195318234","R"
"374602062","7541 MILKY WAY POINT, SAN DIEGO, CA, 92120","Match","Exact","7541 MILKY WAY PT, SAN DIEGO, CA, 92120","-117.06372,32.803898","195374668","L"
"374602061","6667 WANDERMERE CT, SAN DIEGO, CA, 92120","Match","Exact","6667 WANDERMERE CT, SAN DIEGO, CA, 92120","-117.05269,32.795444","195323315","L"
"374603063","410 SOUTH 58TH STREET, SAN DIEGO, CA, 92114","Match","Exact","410 S 58TH ST, SAN DIEGO, CA, 92114","-117.07326,32.70072","195352280","R"
"370800558","2635 SECOND AVE, SAN DIEGO, CA, 92103","Match","Exact","2635 2ND AVE, SAN DIEGO, CA, 92103","-117.16303,32.73281","195343164","R"
"374602807","3476 IDLEWILD WAY, SAN DIEGO, CA, 92117","Match","Exact","3476 IDLEWILD WAY, SAN DIEGO, CA, 92117","-117.21206,32.8265","195302513","L"
"374603755","8554 CAPRICORN WAY, SAN DIEGO, CA, 92126","Match","Exact","8554 CAPRICORN WAY, SAN DIEGO, CA, 92126","-117.13935,32.924107","195318267","L"
"374603180","4075 54TH STREET, SAN DIEGO, CA, 92105","Match","Exact","4075 54TH ST, SAN DIEGO, CA, 92105","-117.079414,32.750008","627884053","R"
